Ticker,CIK,Name,Exchange,SIC,Business,Incorporated,IRS
A,0001090872,Agilent Technologies Inc,NYSE,3825.0,CA,DE,770518772.0
AA,0000004281,Alcoa Inc,NYSE,3350.0,PA,PA,250317820.0
AAACU,0001332552,Asia Automotive Acquisition Corp,,6770.0,DE,DE,203022522.0
AABB,0001287145,Asia Broadband Inc,OTC,8200.0,GA,NV,721569126.0
AABC,0001024015,Access Anytime Bancorp Inc,,6035.0,NM,DE,850444597.0
AAC,0001099290,Sinocoking Coal & Coke Chemical Industries Inc,NASDAQ,3312.0,F4,FL,593404233.0
AACC,0001264707,Asset Acceptance Capital Corp,,6153.0,MI,,800076779.0
AACE,0000849116,Ace Cash Express Inc,,6099.0,TX,TX,752142963.0
AAGC,0001409430,All American Gold Corp,OTC,1040.0,IN,WY,260665571.0
AAI,0000948846,Airtran Holdings Inc,,4512.0,FL,NV,582189551.0
AAIIQ,0001013243,Aaipharma Inc,OTC,8734.0,NC,DE,42687849.0
AAIR,0001303849,Avantair Inc,OTC,4522.0,FL,DE,201635240.0
AAL,0000006201,American Airlines Group Inc,NASDAQ,4512.0,TX,DE,751825172.0
AAMC,0000852015,American Asset Management Corp,OTC,6162.0,NJ,NJ,222902677.0
AAMC,0001555074,Altisource Asset Management Corp,OTC,6500.0,VI,VI,660783125.0
AAME,0000008177,Atlantic American Corp,NASDAQ,6311.0,GA,GA,581027114.0
AAML,0001281629,Adera Mines LTD,,1040.0,A1,,980427221.0
AAMU,0001123648,American Ammunition Inc,,3990.0,FL,NV,912021594.0
AAN,0000706688,Aarons Inc,NYSE,7359.0,GA,GA,580687630.0
AANB,0000356809,Abigail Adams National Bancorp Inc,,6021.0,DC,DE,521508198.0
AANI,0000933955,Amedia Networks Inc,,4813.0,NJ,DE,113223672.0
AAOI,0001158114,Applied Optoelectronics Inc,NASDAQ,3674.0,TX,DE,760533927.0
AAON,0000824142,Aaon Inc,NASDAQ,3585.0,OK,NV,870448736.0
AAOR,0001305748,Healthcare Providers Direct Inc,,5047.0,A1,NV,201063591.0
AAP,0001158449,Advance Auto Parts Inc,NYSE,5531.0,VA,DE,542049910.0
AAPH,0001040482,American Petro-hunter Inc,OTC,1389.0,AZ,NV,980171619.0
AAPL,0000320193,Apple Inc,NASDAQ,3571.0,CA,CA,942404110.0
AAPT,0001362502,All American Pet Company Inc,OTC,2040.0,CA,NV,912186665.0
AARI,0001424864,Patriot Minefinders Inc,,1000.0,A1,NV,
AARS,0001411058,Asia Atlantic Resources,,1000.0,FL,NV,
AASP,0000930245,All American Sportpark Inc,OTC,5900.0,NV,NV,880203976.0
AASR,0000703701,Ushealth Group Inc,,6321.0,TX,DE,731165000.0
AAT,0001500217,American Assets Trust Inc,NYSE,6798.0,CA,MD,
AATI,0001104042,Advanced Analogic Technologies Inc,,3674.0,CA,DE,770462930.0
